epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3366,1.64982,5.0079,1.28589,0.01698,0.26553,0.02053,0.01497,0.99564,4.51599,0.98265,6.0125e-05,6.0125e-05,6.0125e-05
2,34.3192,0.98066,3.19721,0.95003,0.28449,0.30069,0.13419,0.10909,0.78152,2.84814,0.91121,0.000117773,0.000117773,0.000117773
3,48.5342,0.86203,2.51375,0.92092,0.52366,0.30182,0.29909,0.25046,0.70528,2.06919,0.89507,0.00017135,0.00017135,0.00017135
4,62.5949,0.79278,2.05786,0.90686,0.70357,0.37977,0.42216,0.35729,0.67893,1.71653,0.8876,0.000166685,0.000166685,0.000166685
5,76.6411,0.76419,1.75315,0.90015,0.67592,0.49288,0.52075,0.44216,0.66198,1.4572,0.88897,0.00016058,0.00016058,0.00016058
6,90.5084,0.7465,1.53533,0.89537,0.61736,0.57743,0.62231,0.53031,0.64827,1.17691,0.88926,0.000154475,0.000154475,0.000154475
7,104.72,0.71512,1.3853,0.8982,0.55586,0.63569,0.65199,0.55043,0.65181,1.0652,0.88637,0.00014837,0.00014837,0.00014837
8,118.865,0.70188,1.19965,0.88338,0.63152,0.6989,0.7098,0.60575,0.62961,0.96526,0.87497,0.000142265,0.000142265,0.000142265
9,133.199,0.71022,1.14565,0.88295,0.6144,0.77027,0.7457,0.63294,0.62981,0.85078,0.88145,0.00013616,0.00013616,0.00013616
10,147.802,0.69054,1.05161,0.89067,0.67604,0.76616,0.79627,0.67736,0.6289,0.77824,0.87895,0.000130055,0.000130055,0.000130055
11,161.924,0.68223,1.01211,0.88078,0.66097,0.81837,0.79337,0.67827,0.62825,0.74798,0.88197,0.00012395,0.00012395,0.00012395
12,175.962,0.67667,0.91758,0.87877,0.72102,0.76881,0.82637,0.70905,0.61614,0.72947,0.87215,0.000117845,0.000117845,0.000117845
13,190.167,0.63983,0.87202,0.86918,0.79316,0.77271,0.82129,0.70347,0.61128,0.69636,0.86869,0.00011174,0.00011174,0.00011174
14,204.033,0.65873,0.877,0.86961,0.72171,0.82939,0.83147,0.70702,0.63038,0.68363,0.8789,0.000105635,0.000105635,0.000105635
15,218.221,0.64918,0.83245,0.86858,0.80065,0.81683,0.86152,0.73708,0.60979,0.62638,0.87295,9.953e-05,9.953e-05,9.953e-05
16,232.17,0.63436,1.00847,0.84364,0.80562,0.80914,0.85996,0.73729,0.60313,0.62137,0.8703,9.3425e-05,9.3425e-05,9.3425e-05
17,246.209,0.62742,0.76954,0.86402,0.80846,0.81826,0.86869,0.74614,0.60239,0.6027,0.86889,8.732e-05,8.732e-05,8.732e-05
18,260.264,0.64721,0.76237,0.8605,0.83415,0.80546,0.88082,0.75954,0.60536,0.60515,0.86951,8.1215e-05,8.1215e-05,8.1215e-05
19,274.257,0.62041,0.73995,0.85599,0.79922,0.84304,0.87821,0.75486,0.60547,0.58838,0.87004,7.511e-05,7.511e-05,7.511e-05
20,288.122,0.63373,0.73265,0.85833,0.76778,0.86021,0.88172,0.7558,0.59477,0.57617,0.86405,6.9005e-05,6.9005e-05,6.9005e-05
21,304.104,0.60001,0.63447,0.86014,0.86323,0.82043,0.90129,0.77177,0.59671,0.56543,0.86976,6.29e-05,6.29e-05,6.29e-05
22,317.876,0.60396,0.61574,0.86925,0.86169,0.85626,0.89459,0.76891,0.58884,0.53621,0.86765,5.6795e-05,5.6795e-05,5.6795e-05
23,331.329,0.60184,0.71827,0.86266,0.80521,0.88645,0.90247,0.7771,0.58596,0.53547,0.86452,5.069e-05,5.069e-05,5.069e-05
24,344.957,0.5986,0.60841,0.85667,0.84274,0.87014,0.91299,0.7893,0.58268,0.52638,0.86392,4.4585e-05,4.4585e-05,4.4585e-05
25,358.575,0.58652,0.57566,0.84938,0.86422,0.87003,0.9081,0.78519,0.58166,0.51597,0.86328,3.848e-05,3.848e-05,3.848e-05
26,372.131,0.58275,0.56234,0.85724,0.86957,0.88348,0.92145,0.79313,0.58165,0.50321,0.86309,3.2375e-05,3.2375e-05,3.2375e-05
27,385.963,0.57765,0.55157,0.85003,0.85574,0.88803,0.92309,0.79741,0.58156,0.50586,0.86197,2.627e-05,2.627e-05,2.627e-05
28,399.733,0.59362,0.5719,0.85097,0.83891,0.9112,0.92478,0.79716,0.57965,0.48824,0.86104,2.0165e-05,2.0165e-05,2.0165e-05
29,413.371,0.58297,0.61501,0.86062,0.86097,0.88796,0.92146,0.79513,0.57615,0.49271,0.85863,1.406e-05,1.406e-05,1.406e-05
30,427.162,0.57519,0.54966,0.85767,0.84944,0.88225,0.92053,0.79766,0.57589,0.49089,0.85951,7.955e-06,7.955e-06,7.955e-06
