epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0047,1.59732,4.71183,1.23974,0.04229,0.26341,0.0309,0.02456,0.93881,4.23445,0.95605,6.02963e-05,6.02963e-05,6.02963e-05
2,37.2814,0.95453,3.01064,0.94129,0.37286,0.31513,0.18957,0.15735,0.78842,2.51852,0.90993,0.000120621,0.000120621,0.000120621
3,53.8325,0.86696,2.25795,0.93108,0.61123,0.38293,0.34686,0.29359,0.71127,1.90892,0.89504,0.00017959,0.00017959,0.00017959
4,69.5268,0.80304,1.85806,0.90995,0.68069,0.43866,0.47782,0.40797,0.68177,1.52569,0.88152,0.000178895,0.000178895,0.000178895
5,85.3235,0.7623,1.56963,0.90624,0.6671,0.48895,0.57736,0.49601,0.65092,1.25176,0.87111,0.00017686,0.00017686,0.00017686
6,101.232,0.74776,1.37173,0.90118,0.67117,0.5958,0.6541,0.5607,0.6459,1.08583,0.8689,0.000174825,0.000174825,0.000174825
7,117.939,0.73255,1.2159,0.89484,0.7127,0.61327,0.68651,0.58902,0.6282,0.93778,0.86857,0.00017279,0.00017279,0.00017279
8,133.702,0.72581,1.10377,0.89209,0.64238,0.67263,0.71405,0.61363,0.62516,0.91638,0.86486,0.000170755,0.000170755,0.000170755
9,149.298,0.68796,1.00237,0.88596,0.70339,0.71755,0.76752,0.66062,0.6238,0.81209,0.86347,0.00016872,0.00016872,0.00016872
10,165.03,0.69216,0.93246,0.87773,0.71992,0.76838,0.79653,0.68149,0.62589,0.7741,0.86634,0.000166685,0.000166685,0.000166685
11,181.337,0.68886,0.86845,0.87948,0.81669,0.70488,0.79271,0.68452,0.60957,0.75514,0.86162,0.00016465,0.00016465,0.00016465
12,197.375,0.7005,0.83256,0.88239,0.74286,0.82961,0.82178,0.70666,0.60524,0.67242,0.86073,0.000162615,0.000162615,0.000162615
13,213.056,0.68944,0.81308,0.88255,0.73717,0.84297,0.85311,0.73438,0.61196,0.63952,0.86438,0.00016058,0.00016058,0.00016058
14,229.018,0.67327,0.79954,0.88202,0.81451,0.80596,0.85477,0.7376,0.60188,0.62036,0.86204,0.000158545,0.000158545,0.000158545
15,245.101,0.65296,0.74981,0.87269,0.76064,0.83398,0.8596,0.74085,0.59394,0.61561,0.8582,0.00015651,0.00015651,0.00015651
16,261.656,0.6603,0.71415,0.87066,0.79481,0.83311,0.87269,0.75143,0.59398,0.58908,0.85899,0.000154475,0.000154475,0.000154475
17,277.339,0.65982,0.74002,0.86931,0.76098,0.83815,0.85792,0.74133,0.58527,0.57862,0.85776,0.00015244,0.00015244,0.00015244
18,292.873,0.65332,0.71418,0.87423,0.78987,0.84386,0.88375,0.76146,0.5912,0.57,0.85608,0.000150405,0.000150405,0.000150405
19,308.552,0.63831,0.70155,0.87067,0.79426,0.86154,0.88038,0.75446,0.60235,0.56836,0.85827,0.00014837,0.00014837,0.00014837
20,325.062,0.65003,0.68585,0.86645,0.81873,0.87183,0.90135,0.77764,0.59197,0.54637,0.8557,0.000146335,0.000146335,0.000146335
21,340.729,0.63865,0.65141,0.86691,0.86895,0.87884,0.93232,0.80104,0.60431,0.52848,0.86321,0.0001443,0.0001443,0.0001443
22,356.32,0.64093,0.63783,0.86929,0.85401,0.8447,0.90815,0.77968,0.58468,0.55294,0.85622,0.000142265,0.000142265,0.000142265
23,371.936,0.63797,0.62867,0.86332,0.90416,0.86556,0.93036,0.80495,0.56876,0.52047,0.85194,0.00014023,0.00014023,0.00014023
24,387.999,0.64161,0.63092,0.87154,0.9086,0.85753,0.94116,0.81522,0.57802,0.5047,0.8539,0.000138195,0.000138195,0.000138195
25,404.084,0.62601,0.60735,0.86282,0.87785,0.90503,0.92927,0.80126,0.58403,0.48283,0.85691,0.00013616,0.00013616,0.00013616
